location,Ad Dammam,Amsterdam,Athens,Auckland,Baker Island,Bangkok,Beijing,Beirut,Berlin,Bogota,Brussels,Bucharest,Budapest,Buenos Aires,Cape Town,Christmas Island,Copenhagen,Delhi,Dubai,Dublin,Geneva,Havana,Helsinki,Hong Kong,Islamabad,Istanbul,Kabul,Kuala Lumpur,Lisbon,Ljubljana,London,Los Angeles,Macau,Madrid,Manama,Mexico City,Montevideo,Montreal,Moscow,New York,Nicosia,Nursultan,Oslo,Paris,Prague,Pyongyang,Reykjavik,Rio De Janeiro,Rome,Santiago,Seoul,Singapore,Stockholm,Sydney,Taipei,Tallinn,Tehran,Tel Aviv,Tokyo,Valletta,Vienna,Vilnius,Warsaw,Zagreb,sum_co2kg,sum_co2kg_div_3,weightedsum_co2ton
"City of Sarajevo,  Bosnia and Herzegovina",329578.716,11014598.643,73312.704,8163835.785,324399.3,182268.405,82401805.85,91659.002,24100690.053,860612.3,5015428.026,100089.675,24558.09,1018388.868,2649543.666,231302.543,1305011.053,1791026.6849999998,173764.576,1441645.6600000001,7482547.968,1188534.174,2831361.665,5745766.2299999995,105664.721,528286.203,97956.305,1008905.745,1624157.8360000001,9399.798,27121064.528,255394490.22,190653.543,4476222.043,82942.287,9206971.12,1259469.48,115666800.48,1085514.831,178341447.136,40200.005,88235.905,2727258.362,9236844.413999999,890146.2000000001,543355.5989999999,81663.368,7853372.47,5501874.565,61534230.662,63161092.104,35853645.1,3696096.648,74816254.42199999,29405845.016,44509.449,790786.601,3268697.78,74600430.996,28333.373,1410287.004,34025.137,1655216.76,1158.75,1132005236.603,377335078.86766666,377335.07886766666
"Colombo,  Sri Lanka",339482.692,57405816.331999995,434521.476,4998728.742,251182.226,58521.2,56250946.128000006,240029.758,138559021.303,1466108.432,27009784.41,729601.26,2392708.455,1285416.276,2419662.448,82482.784,6451356.593,895867.11,161389.198,5591238.100000001,45963827.456,2108839.188,9982271.861,2695563.03,74640.592,2624181.637,79431.492,301574.35000000003,5777133.908,994667.9099999999,127324947.612,372484364.695,88471.142,19017645.108999997,84202.89,14861873.52,1585163.9249999998,228384536.38,3320096.989,347176519.016,125061.391,109820.095,10576361.063,49564986.31,6392421.028,383294.17799999996,215842.6,11032072.106999999,51988709.97,77983707.12,43794875.861,11494520.404000001,14650317.752,41541058.867,15895937.632,163032.242,1051158.306,8138510.64,54777174.45199999,160991.846,13458348.974,157218.478,9305301.282,163254.838,1915077795.0610003,638359265.0203334,638359.2650203335
"Congo,  Democratic Republic of the Congo",448189.228,43913382.298,317453.367,6840937.194,405073.219,210032.79,121462048.942,210134.452,112506215.05899999,871628.724,20123943.819,609494.985,1908103.53,721801.292,1127534.2820000001,217563.948,5429137.391,2485710.375,239447.642,4134962.7199999997,32097032.192,1437422.844,9667482.458999999,7271770.5600000005,161982.0,2193334.0270000002,155775.685,1053372.685,3336436.992,740873.172,93691121.56,350965023.47499996,240999.152,11422792.944,112563.666,11094720.64,880618.355,172640542.69,3528241.952,253719003.14,105747.227,178232.717,9264975.851,35389854.024000004,5058498.098,790087.398,179850.109,5361967.147,35342492.194,46455360.682,90791518.708,37053567.324,13370936.688000001,64949413.934999995,38266609.752,156713.774,1411524.004,6841112.732,106015089.544,99079.59,10551658.566,145640.683,8052477.618,122908.759,1796549222.571,598849740.857,598849.740857
"Copenhagen,  Denmark",392023.636,6287887.3610000005,158374.962,8006194.0139999995,299483.732,188607.533,78014647.672,146296.584,1155429.98,819431.756,3496601.5349999997,197707.215,442552.21499999997,1052876.72,3052549.6259999997,243537.727,0.0,1929598.605,213010.328,924586.88,8081108.224,1077240.852,1632034.504,5691671.34,113892.244,951261.638,107165.681,1055920.92,1705215.0359999998,183271.374,19112874.116,223455045.42000002,189113.412,4974953.46,98991.671,8313762.72,1306719.73,98035029.4,901585.9010000001,154003981.44000003,67962.918,84746.837,114008.473,7907459.140000001,779475.7220000001,509184.12,52053.348,8239781.748,11997414.344999999,62481852.150000006,59305599.132999994,37431668.388,1505839.532,75741521.59,28598375.072,25565.211,915411.563,5213362.528,69228149.9,54388.173,2170821.506,24998.379,1239538.8800000001,31221.885,1011732637.7050002,337244212.5683334,337244.2125683334
"Dakar,  Senegal",621247.416,32056008.619,317761.086,7888661.865,373614.625,272308.565,132421230.47399999,251100.904,89417520.095,553124.796,14540350.502999999,579878.675,1641135.72,613078.556,2031353.016,301350.682,4266890.283,3170875.4099999997,333497.352,2732533.244,23470278.144,900987.552,8184694.276,8714023.5,200183.841,2233564.4560000002,192203.303,1419541.3,1913630.4600000002,608120.916,64705602.232,249403509.625,289422.521,7470797.8950000005,156376.773,7543887.4399999995,753372.5549999999,105500713.01,3290793.103,153012999.208,121940.779,189575.967,7182027.0479999995,24794901.389999997,4087718.9,845099.9430000001,121386.056,4111120.246,28739566.290999997,38657280.53,97479632.525,49897019.743999995,10883151.478,83055872.88599999,44331371.956,132927.733,1728753.6530000002,8401901.908,110380180.09200001,87754.064,8772656.84,126919.867,6874464.615999999,102939.346,1465454387.8539999,488484795.9513333,488484.7959513333
"Dammam Governorate,  Saudi Arabia",0.0,32659056.329,204198.19800000003,6732452.433,309676.239,119272.51,67406351.376,81680.406,75361929.825,1141203.656,15278405.163,358738.21,1234162.29,1154890.636,2301379.906,159310.189,3626218.633,984909.9450000001,35755.722,3376059.848,25118987.776,1634781.1139999998,5691899.447000001,4244493.24,57720.18,1178645.24,50317.405,667065.0650000001,3464267.912,508710.00600000005,74055777.256,325927570.42499995,140228.212,11010452.152,213.293,12137037.04,1422961.3449999997,171615310.79,1888008.636,261573365.896,46417.299,80068.416,6221791.369,28098999.642,3380067.472,461715.87,143141.261,9224859.832,26414759.498000003,70835010.18100001,53538449.591,24081033.720000003,8388265.677999999,59460528.701,22924137.952,92090.241,328450.199,2747776.9119999995,66182176.06,81737.78,6923289.192,83866.435,4877294.066,83537.215,1509612928.5259986,503204309.5086662,503204.3095086662
"Dhaka,  Bangladesh",359506.72,52397167.17,423169.902,5085497.613,225276.332,38729.064,36424404.327999994,238157.766,125433983.283,1430055.336,24838873.709999997,678923.435,2209334.475,1460075.512,3042861.78,92136.901,5755576.772999999,539425.815,163919.236,5105424.912,43184756.224,1925252.796,8551680.646,1793983.83,49842.996,2486540.944,58381.392,318540.19,5603120.068,930379.368,116983025.72,319209586.01,58320.72,18356210.839,88894.63,13146068.16,1802669.23,203851708.06,2807381.656,312444433.888,123086.116,82456.971,9272976.663999999,46050770.401999995,5853245.602,251259.48299999998,189265.096,12323905.462000001,49803006.013,88285830.628,28776042.02,12134125.968,12752146.306,43071475.671,11378201.076,140169.079,967116.81,8214154.656,39307814.0,159337.827,12418432.026,138108.167,8346870.4799999995,152696.363,1709785770.3159993,569928590.1053331,569928.5901053331
"Distrito Municipal de KaMpfumo,  Mozambique",538545.264,62403980.62,471872.814,5490174.564,343516.792,187498.366,122168330.622,292658.472,157914371.382,1037936.748,28870703.421,860555.76,2719369.44,743416.7,569510.676,171216.646,7503836.0600000005,2537776.7249999996,272496.594,5863731.72,47377763.584,1764158.28,12802622.904000001,6742354.109999999,172899.226,3106081.1070000003,169903.593,886344.475,5147125.816,1078945.518,134212493.20799999,421591177.08500004,223410.441,17582091.96,134498.335,13092450.68,907343.195,222395075.20999998,4576722.274999999,325545316.664,149259.465,205045.222,12577643.187,51470413.736,7185149.858,788037.372,241655.073,6136121.8100000005,53306220.418000005,47446927.327,89938262.37,30917315.619999997,18001961.18,50858415.86,35860678.684,208165.31,1721816.03,9650251.96,104182702.26,156533.761,15085997.559999999,196743.472,11125916.120000001,178591.55,2168060102.257,722686700.7523333,722686.7007523333
"Doha,  Qatar",3067.7,33940851.112,217772.25300000003,6648324.459000001,307869.023,115981.505,66846850.434,90624.458,78640072.253,1156710.424,15883396.746,381363.395,1263011.49,1160881.98,2288206.48,155310.48,3773666.6300000004,945438.9600000001,3034.38,3491013.54,26178404.096,1659606.2880000002,5915438.278,4169648.67,56117.13,1265172.798,49154.414,648427.92,3577682.808,533515.986,76805855.1,329646110.77000004,137715.793,11406067.622,564.015,12298795.4,1430178.2449999999,174724288.2,1890766.359,266196453.896,50900.235,81268.602,6450939.876,29198557.99,3535520.57,458396.625,147051.873,9298419.347,27696673.197,71228701.502,53129625.373,23436802.044000003,8716247.146,58588735.758,22602243.279999997,95783.589,349191.51300000004,3044762.016,65780071.084,83605.234,7241858.454,86844.098,5073174.74,86433.633,1532365219.268999,510788406.4229997,510788.4064229997
"Dubai,  United Arab Emirates",71511.444,35602111.132,240279.057,6496161.21,300192.901,107826.906,63439837.162,105593.754,82659757.83399999,1186971.78,16698156.153,408752.725,1337904.2850000001,1190071.224,2346469.9299999997,148093.552,3940691.068,814882.335,0.0,3641828.4,27752481.792,1694670.1979999999,6102272.25,3928432.3499999996,48494.14,1389444.844,42157.44,609303.91,3775388.876,569064.1140000001,80511060.72,330992816.645,129667.278,12077170.366999999,1937.656,12480859.040000001,1466416.4000000001,178293399.9,1916342.5890000002,271872713.944,58289.785,77761.718,6684092.477,30758372.68,3737076.446,437723.292,151041.167,9585047.543,29746385.562,72930228.80700001,50743579.15,22095271.876000002,9030596.926,57029480.088,21438632.944,98963.343,359610.196,3586605.328,63260760.472,89750.757,7693194.408,90684.033,5338166.358,92334.331,1551504836.9920006,517168278.9973335,517168.27899733355
"Dublin,  Ireland",482294.264,7362859.569,209546.00400000002,8301127.443,304785.023,215373.757,89565717.774,173772.44,27689562.908999998,712598.068,3532164.951,311428.91,706126.5,959911.008,3056465.776,270062.216,1221775.52,2328548.835,260130.6,0.0,8262529.792,928691.898,3057025.6750000003,6457752.0600000005,140534.511,1372026.1570000001,133678.76,1189612.225,1152068.26,253688.094,1240039.128,206353384.115,214724.24,3552704.4430000004,121636.538,7417107.800000001,1192642.595,81032654.78,1573426.343,127745678.148,83288.678,110955.587,1971889.7989999999,6427387.526000001,1406428.526,574912.164,37653.654,7439830.6850000005,14575450.711,56781424.971999995,66765633.286000006,42033575.688,3509009.1520000002,81248841.625,32196290.0,49622.184,1170624.169,6061427.792,76273286.17999999,61964.221,3449999.5300000003,50700.425,2637267.83,44811.945,1006018133.458,335339377.8193333,335339.37781933334
"Espargos,  Cape Verde",660719.512,32173430.569000002,338175.378,7849083.416999999,360205.963,281984.75,133951069.434,267819.634,90745867.353,504529.384,14631463.602,605824.96,1696235.625,599986.644,2192127.4760000003,314178.89,4295576.346,3300181.0500000003,353430.414,2678229.988,24010572.288,819245.328,8244885.720999999,8915116.2,208072.157,2353523.464,200083.918,1475873.81,1909560.492,629207.478,64453391.484,234339215.315,296225.457,7611436.837,166274.474,7000003.64,739094.52,95915029.21,3357956.415,138343731.564,129944.26,193887.994,7160314.163,24978813.79,4179401.5,850663.6499999999,116200.251,4028267.552,30120919.441000003,37480792.421,98120491.557,51860482.304,10931870.22,85063171.49399999,45078488.832,134075.27,1817217.061,8998119.243999999,110258647.40799999,94338.601,9031780.612,129300.19,7026120.87,106715.533,1436678644.3789997,478892881.45966655,478892.88145966653
"Freetown,  Sierra Leone",609549.632,35568324.034,327666.819,7655824.47,389685.93,268178.798,135235428.926,251772.076,97301344.827,590685.944,16165929.422999999,606564.76,1752761.625,592252.6,1780931.432,290214.369,4657614.501,3148593.15,326927.628,3107854.0640000002,25955057.92,987362.898,8795426.581,8724264.57,200055.609,2304329.6520000002,192199.296,1383079.14,2290996.904,655163.814,72759238.68800001,268394169.59,289635.21,8077134.709999999,153378.982,8102853.279999999,724887.05,119051055.2,3467391.956,172494258.484,122950.648,194797.714,7865654.915,27754114.15,4428308.53,866201.529,136911.938,3903437.211,30906170.183,37991599.852,99843966.93699999,48576241.375999995,11792711.644000001,79200458.407,44705783.984,142787.909,1731672.2060000002,8379949.1280000005,113750920.556,91975.325,9438207.134,135516.825,7367019.176,110420.844,1555067822.6630003,518355940.88766676,518355.9408876668
"Gaborone,  Botswana",549322.424,60297905.345,458818.13399999996,5694264.807,356436.364,199912.012,126853643.982,289439.628,153428249.57000002,980408.4,27851004.699,841853.4849999999,2645534.46,700477.764,466986.128,185865.884,7301784.499,2653216.155,280740.028,5640196.995999999,45563171.072,1675352.586,12578045.365,7108164.72,179145.615,3045323.591,175396.906,954542.815,4866499.568,1044374.052,129230549.20799999,405197605.96,235579.386,16698614.02,137339.614,12506562.28,853358.23,212325447.95000002,4532272.4290000005,310079361.004,147102.207,208315.823,12258581.570999999,49503765.878,6974824.455999999,818432.4809999999,233739.783,5648589.348999999,51321577.028,45133757.602,93505857.56600001,33306446.36,17609640.618,53576290.299,37670238.424,204446.182,1743260.728,9532982.968,108290668.304,150131.388,14648757.734,193017.893,10869159.69,173065.469,2120385416.9359996,706795138.9786665,706795.1389786665
"George Town,  Cayman Islands",1108908.736,55332874.611,651974.76,5715708.705,230035.311,355413.445,141872312.01,484223.952,152785526.576,180345.66,25956504.567,1073249.05,3013655.535,568238.528,3684253.02,408312.605,6873603.072000001,4642026.66,575137.478,4493216.084,46449800.192,10549.818000000001,12031374.894000001,9857447.34,294782.984,4234543.718,289144.938,1902694.5550000002,4401970.552,1169996.178,113343157.848,100357531.955,329277.558,16177599.472,278349.711,1851808.72,723488.74,56445697.769999996,4978927.461,69026227.756,236944.095,256230.147,10690633.856,46350603.74,7297526.498,846273.8910000001,145449.115,5091758.885000001,60531629.926,29829141.57,96838000.787,66021393.664,16354742.549999999,68994271.801,46718077.972,197716.959,2910883.646,16533943.912,99373930.29200001,202719.566,16095253.806000002,203002.909,11580845.731999999,197512.599,1457658380.4430003,485886126.81433344,485886.12681433343
"Guatemala City,  Guatemala",1200227.54,62191170.042,721377.42,5218250.876999999,209110.167,361913.946,143624035.022,530271.534,170313990.428,208876.02,29214666.222,1184902.825,3347066.895,565827.4,3857375.9140000003,395860.506,7655576.649,4906850.865,620109.288,5105896.88,52277879.808,201725.50799999997,13234990.904000001,9867649.59,312895.944,4664120.494,308052.581,1916488.4400000002,5063128.28,1305445.848,128128558.29200001,94518677.68,329897.587,18453819.126,301163.132,1209497.5999999999,723864.0249999999,64943845.120000005,5433846.761,91414664.528,259950.3,272441.132,11890888.969,52333118.502,8134357.976,847481.037,164743.434,5385117.233,67713813.544,28707388.836,96717697.692,65980785.668,18093740.896,63827949.472,46407863.608,217610.229,3148375.373,18112516.108000003,97777259.944,226244.463,17917809.75,223787.343,12823309.088,220071.083,1553447889.3679993,517815963.1226664,517815.9631226664
"Hagåtña,  United States",856236.692,80188102.88599999,761003.895,2961390.432,99926.96,105527.625,44230481.178,474979.848,200011516.416,1330326.632,38147536.938,1210653.335,3720223.62,1453736.036,4321362.556,111962.195,8989213.048,2342980.0500000003,407519.056,7381319.988,68080118.784,1760889.5999999999,13658883.014999999,2450740.32,164418.521,4591325.2809999995,172064.977,537281.175,8302042.671999999,1536260.826,175309585.33200002,243107972.21,82345.254,27895132.736,213183.554,10575617.0,1831421.0899999999,208349244.18,4929152.862,315559404.7,240157.26,168411.592,14017081.291000001,70534625.224,9496893.537999999,245845.85700000002,246789.295,15019446.667,82460127.655,78099302.55700001,26666504.172000002,17867366.364,19940722.476,25389318.555999998,9954588.928000001,225059.804,2268976.6550000003,16349445.904,22516447.772,271167.379,20533281.914,230547.48,13856565.748000002,254489.647,1935066247.2100003,645022082.4033334,645022.0824033334
"Hanoi,  Vietnam",498901.72,60809300.708,520573.083,4436207.874,190811.411,29119.7,28266643.938,305476.178,147523628.77600002,1492989.544,28869343.671,832257.11,2650733.355,1553630.9,3381730.4359999998,83089.153,6715746.42,1100456.1,227718.662,5819878.3719999995,50656822.528,1962523.074,10018994.958999999,793123.89,83155.565,3090544.9779999997,86170.216,252282.03000000003,6443276.28,1108812.54,134891511.2,304783754.16999996,24772.467,21276899.463,123759.298,12853321.88,1922445.605,211791485.29,3401070.421,324385723.032,156444.249,99167.083,10687581.668,53495153.6,6928950.362,202509.474,208498.438,13541839.901,59421992.5,91763548.035,22886287.292,9327789.448,14855207.592,36922811.268,6173440.824,164587.548,1332904.463,10524862.928000001,30292713.360000003,191915.266,14802376.697999999,164757.382,9951307.254,182582.741,1779537915.3709996,593179305.1236665,593179.3051236665
"Harare,  Zimbabwe",470472.0,56232892.964999996,412389.60000000003,5878154.226000001,357338.797,183566.003,117367029.026,254069.572,141864302.44500002,1026562.184,25978686.720000003,761762.74,2421687.555,774238.78,755253.674,175969.099,6769622.675,2357314.71,240785.008,5320135.5479999995,42353332.224,1714308.1439999999,11599498.980999999,6602348.13,159145.925,2732167.3389999997,155358.812,884647.1950000001,4634725.004000001,960013.236,121148186.748,406848991.235,218694.59,15752764.983,117589.898,12873061.08,945409.9099999999,210515925.61999997,4132282.948,309467505.948,129802.815,188546.995,11406736.798,46266562.103999995,6431289.100000001,761751.483,222164.207,6227935.867,47165175.23199999,49387842.703,87134382.709,31014041.540000003,16297170.366,54278350.399,35166676.936,188434.992,1529247.0599999998,8335176.228,101683433.488,136806.617,13458763.812,177004.225,9976374.506,158755.411,2051140616.8700004,683713538.9566668,683713.5389566668
"Hargeisa,  Somalia",196454.712,40778079.139,252312.435,6504194.151000001,335196.008,135236.18,84673126.954,139189.666,98325576.85,1131772.448,18910917.9,470227.07999999996,1600238.37,1025137.576,1709240.372,157160.556,4737882.634,1349425.425,104345.346,4061573.04,30629539.584,1719054.984,7849468.654,4976873.850000001,88647.642,1605871.545,84251.72,703346.995,3806599.3000000003,653489.712,90226548.912,366184442.77500004,164511.793,12401900.177000001,48987.5,12935383.719999999,1259346.945,189973565.32,2621369.1100000003,285814085.212,74447.819,115834.83,8100032.119999999,34143785.536,4410180.782,566187.117,173127.264,8198419.078,32543781.424000002,63719001.695999995,65206480.691,25186801.252,11252188.916000001,57623467.243999995,26918028.804,127176.84,805978.459,4467067.968,78709518.888,92653.244,9078244.682,116527.094,6629677.182,106815.872,1718709997.094,572903332.3646667,572903.3323646667
"Havana,  Cuba",1089854.076,53561526.544,638950.548,5780386.751999999,227546.977,346052.316,137188844.234,475203.452,148052271.444,220731.284,25157140.176,1046859.01,2933011.785,605740.424,3775013.5360000003,399505.838,6642985.254,4527195.24,564890.066,4333895.524,45217824.768,0.0,11603387.304,9575165.97,287247.295,4139586.335,281895.475,1855422.25,4309122.384,1139808.024,109691254.62,94625929.505,319853.829,15818484.908,273567.173,1779574.52,770122.665,49274794.03,4818605.132999999,58893453.508,232412.824,248034.268,10294341.004,44989060.662,7086208.232,818238.6780000001,138157.015,5397687.502,59167264.217999995,31981551.257,93669413.783,64389820.928,15772159.802,69481018.859,45355826.18,190781.103,2846342.213,16245853.888,96169580.05199999,199107.549,15654263.054,196561.928,11231327.466,192463.384,1404190180.025,468063393.3416667,468063.39334166667
"Helsinki,  Finland",373239.308,11837030.557,181892.925,7610777.433,284488.642,172768.151,68630512.02800001,147562.91,25041177.632,878596.272,6066236.652,218455.325,552454.1699999999,1128898.944,3203832.408,229478.319,989922.568,1725901.6199999999,200074.5,1403224.9000000001,12567590.912,1141316.784,0.0,5146604.16,100236.342,1007828.97,94218.881,981405.135,2283474.788,256729.99200000003,30287796.684,223686121.20499998,171001.463,6991499.458,94147.612,8603158.56,1401951.335,104424508.64999999,621387.0900000001,164551170.70000002,69601.748,73585.529,1436014.334,12609040.794,1293356.486,451980.27,59400.161,8945304.741,16893423.901,66670953.053,52803456.145,34837924.212,136450.18000000002,71800593.704,25820788.032,328.339,888360.935,5317902.124,62378528.212000005,68538.299,2980669.6599999997,19784.317,1600554.0219999999,42528.529,1062487741.7119999,354162580.5706666,354162.5805706666
"Hong Kong Island,  China",565932.432,63512392.183000006,560919.891,4196266.472999999,172672.652,43122.857,24146334.68,335173.106,154934270.217,1469601.432,30192027.621,892091.3,2813300.175,1606020.3,3625093.234,84137.553,7019727.986,1261948.08,261895.49,6027235.256,53301815.04,1915033.1940000001,10464761.792000001,0.0,93058.375,3336664.1190000004,100960.63,308912.85,6738796.708,1174587.858,140536952.212,288520966.825,260.705,22323775.746,140567.249,12312986.92,1992426.3800000001,208799199.84,3604278.434,319741785.856,170938.123,107567.982,11093514.470999999,55981288.286,7305067.028,160086.48599999998,211684.169,14237355.947999999,63111668.820999995,92227977.77700001,17673108.277,10892570.284,15489887.248,35074394.201,3700244.496,172125.043,1495120.429,11558955.928000001,25713064.468,205292.919,15663877.144,173787.674,10508808.358,193695.037,1772250034.248,590750011.416,590750.011416
"Honolulu,  United States",1212102.696,79567528.428,877241.7480000001,3260198.298,75630.669,231922.987,88265387.262,597639.066,207568755.938,802564.768,37850147.559,1383540.0,4041743.9999999995,1060874.268,5650769.306,242198.3,9208107.86,3895591.0799999996,597802.126,6889067.640000001,68864087.552,1009797.876,14582188.043,5860857.600000001,258737.096,5403831.857,263090.969,1195967.015,7684013.595999999,1633277.88,169506328.652,103669263.33,196745.153,26745896.233000003,302903.536,5356251.48,1348523.19,133280172.41,5682558.9860000005,197907404.916,296822.829,232219.362,14068886.241,69440075.39,9980545.53,486296.63399999996,213787.618,10753633.676,87561083.412,54725566.103,54679955.275,40602971.364,20724858.436,38795940.512,26318244.744,240816.716,3109203.5919999997,20630257.316,49615818.252,296378.838,21928165.792000003,252189.652,14975033.688000001,273075.86,1744232538.2010005,581410846.0670002,581410.8460670002
"Islamabad,  Pakistan",230880.72,39144557.492,293549.32499999995,5998951.119,258996.036,81940.442,42562539.084,165075.49,91113223.736,1265560.296,18574456.362,461533.43,1560648.1199999999,1357730.74,2887406.704,131949.689,4214013.028,326016.39,96988.28,3934966.308,32109775.616,1723483.77,6114416.862000001,2791751.25,0.0,1661082.258,1481.01,498906.42,4385866.492000001,670246.8119999999,88668271.24399999,306606094.28,91915.033,14139257.574,56947.135,12241050.48,1676388.27,178076637.2,1910112.556,273726126.22400004,82712.39,48216.28,6891488.6280000005,34643162.232,4223742.788,310940.391,151613.536,11089104.314,36273346.916,82329509.982,36344121.682,18288048.092,9269675.55,52462689.048,15546421.571999999,99924.699,542530.637,5581863.368,47881108.184,116208.657,8879859.704,96306.121,5882920.569999999,109314.916,1518955623.5340002,506318541.17800003,506318.54117800004
"Istanbul,  Turkey",248135.84,17072732.11,55623.83099999999,7784099.631,321468.743,163706.701,76473240.714,57882.02,35093035.801,938887.944,7909047.468,8954.15,455518.74,1068306.716,2574977.426,211487.794,1852456.874,1509916.065,146257.352,2021933.2840000002,12192238.336,1307237.79,3235661.4299999997,5268417.03,87425.382,0.0,82249.621,912158.9750000001,2210399.128,202999.626,41004799.24,272966675.99,174646.176,6505164.641,63235.907,9971529.24,1319824.145,130097780.89,1007652.2869999999,200040399.688,23483.278,82062.173,3548790.3510000003,14776625.584,1443752.088,510832.35599999997,91358.571,8306812.28,10945948.225,64812604.841,59416943.476,32527452.856,4611806.502,70616917.077,27275163.164,51201.741,554548.5989999999,2118912.64,71262070.516,35253.799,2755027.636,38839.804,2052127.2899999998,32031.805,1222508731.3779995,407502910.4593332,407502.91045933316
"Jakarta Special Capital Region,  Indonesia",623149.116,77583252.095,644332.095,3515542.5270000002,186883.526,57189.003,56839749.668,380681.81,190458858.169,1722921.016,36609260.436,1066198.4,3389734.5749999997,1325596.28,2900677.08,1995.325,8755977.406,1657078.6500000001,288745.838,7373853.396,63255165.184,2334019.4220000003,13533746.333999999,2387456.46,125103.772,3925539.555,132122.748,160790.845,7737876.496,1399021.026,170687503.62,357118942.4,78970.936,25773956.427,154639.365,14658195.079999998,1644962.645,262150085.89000002,4680250.289,398398013.456,195188.444,158186.478,14089292.453,67205749.87,8879463.192,356375.877,270578.928,12422775.603999998,73486774.68,77085829.27700001,39799018.424,4688017.896000001,19768603.709999997,26295674.825000003,12556555.32,221794.256,1789112.655,12956587.195999999,46367908.132,231813.994,18893917.086,219078.931,13005310.072,230684.067,2176892329.728,725630776.5760001,725630.7765760001
"Juba,  South Sudan",303077.788,40124934.527,252678.93300000002,6789248.319,366498.739,166638.529,99574832.578,158764.142,99038274.29900001,1020302.42,18471609.576,490713.315,1620480.87,901217.572,1402444.708,183210.271,4804528.143999999,1811985.0,163864.368,3933378.12,29422214.144,1597435.53,8284742.816000001,5931198.779999999,117854.339,1698336.527,112122.572,851791.97,3432787.372,645262.6499999999,87560582.956,362181252.375,196322.854,11326267.274,76131.944,12187893.36,1104703.835,181413576.96,2879301.0459999996,270649606.056,81719.635,139076.054,8264252.543,32915415.092,4422168.414,657065.196,171681.046,7023075.893999999,31191145.081,56657782.158,75612690.054,30233410.768,11661872.792,61597138.477000006,31617644.779999997,134111.876,972402.662,5060799.088,89830793.416,85938.903,9110296.596,122710.297,6850532.946,106021.677,1727767813.023,575922604.341,575922.604341
"Kampala,  Uganda",330315.496,43581067.381,284737.863,6582894.528,365120.025,166932.088,102124748.934,167966.806,108047744.05800001,1033958.588,20088843.158999998,546134.775,1787632.11,884307.192,1268129.716,178693.763,5216776.483,1879093.1099999999,166912.258,4237235.688,32219178.752,1638900.5639999998,8957748.313000001,5988544.5,123703.199,1907740.125,118500.178,842251.2,3707158.224,711902.6939999999,94858048.75600001,373868405.26000005,198218.468,12317940.76,82674.922,12469469.280000001,1083226.825,188780356.38,3125484.927,280917509.408,86079.676,147607.404,8921714.5,35815512.54400001,4845215.536,672176.676,182674.011,6938199.189,34612127.354,55734905.032,77249011.972,29845230.848,12618025.35,59776898.64300001,31981026.812,145151.368,1068467.587,5568992.6,91559525.876,96851.043,10023560.854,133763.159,7495652.04,117144.534,1798491721.3639998,599497240.4546666,599497.2404546667
"Kathmandu,  Nepal",331194.116,47912871.884,380527.119,5387920.314,235850.215,54465.849,38019234.916,210523.198,113825833.207,1374794.984,22725611.853,606685.205,1992393.0749999997,1436142.604,3005562.5039999997,105546.994,5230104.697000001,370007.22000000003,146303.632,4707621.884,39482310.144,1856770.56,7706240.898,2171706.6599999997,34707.134,2213920.185,42741.142,394744.09500000003,5198442.984,843586.5120000001,107409475.504,314525552.23999995,71003.784,16954349.573,82343.825,12847551.559999999,1772886.8299999998,194863814.53,2483541.84,299028040.07199997,109131.683,69812.607,8451914.433,42215366.676,5305173.350000001,261233.92799999999,176101.549,11963014.751,45318626.416,87057909.54,30383068.628,14069592.088,11551431.592,46209527.21,12225784.644000001,126245.638,888254.95,7287756.452,41440809.228,145166.338,11233071.103999998,123860.539,7513705.004000001,138231.639,1642307715.5290003,547435905.1763334,547435.9051763334
"Khabarovsk Krai,  Russia",655178.312,52034963.257,531647.916,4829438.712,158496.921,116292.228,24468205.32,341075.814,128826436.60200001,1144759.44,24965044.251000002,811839.745,2458135.02,1547776.336,4495027.739999999,164474.429,5686449.414,1797556.0350000001,316604.036,4801921.88,45597778.432,1426836.582,8254898.992999999,2526862.8,117691.686,3144258.32,122131.581,688489.145,5765222.036,1026261.06,114653750.468,200438558.61499998,84593.67,19232630.962,163482.025,9146389.0,1947556.08,149000122.81,3003983.287,231169603.89200002,170900.105,96067.142,8660638.025,46687155.452,6200230.822000001,121585.065,153645.111,13539567.213,56389671.903,84249644.41600001,14651434.644000001,24002780.944,12248971.916,45620394.561000004,11570844.24,136746.055,1605127.381,11884375.64,16296411.768000001,191427.278,13533485.902,144569.109,8875975.48,170118.899,1434864193.923,478288064.64100003,478288.064641
